"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR"
74,"Dominican Republic","DR2002DHS",2002,23384,23384.0030400002,0.482348022949959,48.2348022949959,0.00447143479128581,0.447143479128581,1986,16,11279,23384,2,NA,NA,NA,0.482348022949959,-0.0706372646634539
75,"Dominican Republic","DR2007DHS",2007,27195,27194.999861,0.51923270120145,51.923270120145,0.00463300632128893,0.463300632128893,1986,21,14121,27195,7,NA,NA,NA,0.51923270120145,0.0769687804687186
76,"Dominican Republic","DR2013DHS",2013,9372,9372.00000300001,0.525751817693423,52.5751817693423,0.00704900059052429,0.704900059052429,1986,27,4927,9372,13,NA,NA,NA,0.525751817693423,0.103098495877938
77,"Egypt","EG1988DHS",1988,8911,8911.00093699977,0.327184866056332,32.7184866056332,0.00511229711744444,0.511229711744444,1988,0,2916,8911,-12,NA,NA,NA,0.327184866056332,-0.720945251601898
78,"Egypt","EG1992DHS",1992,9864,9863.99961899987,0.41544197164269,41.544197164269,0.00554132576144576,0.554132576144576,1988,4,4098,9864,-8,NA,NA,NA,0.41544197164269,-0.341513109171803
79,"Egypt","EG1995DHS",1995,14779,14779.0002419995,0.422254256229426,42.2254256229426,0.00496935455369798,0.496935455369798,1988,7,6240,14779,-5,NA,NA,NA,0.422254256229426,-0.313526246704912
80,"Egypt","EG2000DHS",2000,15573,15573.0012169987,0.498327628879207,49.8327628879207,0.00432754135465081,0.432754135465081,1988,12,7760,15573,0,NA,NA,NA,0.498327628879207,-0.00668950942909745
81,"Egypt","EG2003DHS",2003,9159,9158.99939000006,0.522665698310528,52.2665698310528,0.00598078679398692,0.598078679398692,1988,15,4787,9159,3,NA,NA,NA,0.522665698310528,0.0907249719888382
82,"Egypt","EG2005DHS",2005,19474,19474.0009439988,0.528124158799002,52.8124158799002,0.00422332623744779,0.422332623744779,1988,17,10285,19474,5,NA,NA,NA,0.528124158799002,0.112615502624234
83,"Egypt","EG2008DHS",2008,16527,16526.9982689993,0.537127386928527,53.7127386928527,0.00423852927433604,0.423852927433604,1988,20,8877,16527,8,NA,NA,NA,0.537127386928527,0.148783403507858
84,"Egypt","EG2014DHS",2014,21762,21762.0015380042,0.534797998505597,53.4797998505597,0.00401372268521746,0.401372268521746,1988,26,11638,21762,14,NA,NA,NA,0.534797998505597,0.1394173796369
85,"Ethiopia","ET2000DHS",2000,15367,15366.9999969998,0.0468520159524021,4.68520159524021,0.00237910368811172,0.237910368811172,2000,0,720,15367,0,NA,NA,NA,0.0468520159524021,-3.01277613622308
86,"Ethiopia","ET2005DHS",2005,14070,14069.9998420001,0.0967667940504013,9.67667940504013,0.0032823801748548,0.32823801748548,2000,5,1362,14070,5,NA,NA,NA,0.0967667940504013,-2.23367687817739
87,"Ethiopia","ET2011DHS",2011,16515,16514.9998129998,0.186980810473233,18.6980810473233,0.0044806152988516,0.44806152988516,2000,11,3088,16515,11,NA,NA,NA,0.186980810473233,-1.46974871882439
88,"Ethiopia","ET2016DHS",2016,15683,15683.0003760002,0.248631842346132,24.8631842346132,0.00515720293677402,0.515720293677402,2000,16,3899,15683,16,NA,NA,NA,0.248631842346132,-1.10592249734072
89,"Ethiopia","ET2019DHS",2019,8885,8884.99989399998,0.280777731318228,28.0777731318228,0.00751442574239527,0.751442574239527,2000,19,2495,8885,19,NA,NA,NA,0.280777731318228,-0.940607081221593
90,"Gabon","GA2012DHS",2012,8422,8421.99987199985,0.239522791101752,23.9522791101752,0.00739339876118246,0.739339876118246,2012,0,2017,8422,12,NA,NA,NA,0.239522791101752,-1.15529756917482
91,"Gabon","GA2019DHS",2019,9507,9909.65931499998,0.171286150617783,17.1286150617783,0.00625964490655898,0.625964490655898,2012,7,1697,9910,19,NA,NA,NA,0.171286150617783,-1.57653936653154
92,"Gambia","GM2013DHS",2013,10233,10233.0004190001,0.0650776890190989,6.50776890190989,0.00317874312057256,0.317874312057256,2013,0,666,10233,13,NA,NA,NA,0.0650776890190989,-2.66488166410408
93,"Gambia","GM2019DHS",2019,11865,11864.99995,0.122295761745874,12.2295761745874,0.00384335972784206,0.384335972784206,2013,6,1451,11865,19,NA,NA,NA,0.122295761745874,-1.97086729088417
94,"Ghana","GH1988DHS",1988,4488,4488,0.0467914438502674,4.67914438502674,0.00315246856815958,0.315246856815958,1988,0,210,4488,-12,NA,NA,NA,0.0467914438502674,-3.01413335892488
95,"Ghana","GH1993DHS",1993,4562,4562,0.0927224901359053,9.27224901359053,0.00429422677494725,0.429422677494725,1988,5,423,4562,-7,NA,NA,NA,0.0927224901359053,-2.28083731270245
96,"Ghana","GH1998DHS",1998,4843,4842.99759100019,0.106571565296486,10.6571565296486,0.00463005200959589,0.463005200959589,1988,10,516,4843,-2,NA,NA,NA,0.106571565296486,-2.12624950183782
97,"Ghana","GH2003DHS",2003,5691,5690.99997600004,0.152681549053655,15.2681549053655,0.0052269268964856,0.52269268964856,1988,15,869,5691,3,NA,NA,NA,0.152681549053655,-1.71372222555524
98,"Ghana","GH2008DHS",2008,4916,4915.99985799994,0.134860519355208,13.4860519355208,0.00531160000029141,0.531160000029141,1988,20,663,4916,8,NA,NA,NA,0.134860519355208,-1.85864968886461
99,"Ghana","GH2014DHS",2014,9396,9396.00008300001,0.181640398246472,18.1640398246472,0.0048737491142812,0.48737491142812,1988,26,1707,9396,14,NA,NA,NA,0.181640398246472,-1.5052729522162
100,"Ghana","GH2022DHS",2022,15014,15014.0000489995,0.234376863828137,23.4376863828137,0.00447817602998914,0.447817602998914,1988,34,3519,15014,22,NA,NA,NA,0.234376863828137,-1.18375971031592
101,"Guatemala","GU1987DHS",1987,5160,5160,0.134108527131783,13.4108527131783,0.00474389509934919,0.474389509934919,1987,0,692,5160,-13,NA,NA,NA,0.134108527131783,-1.86511020457142
102,"Guatemala","GU1995DHS",1995,12403,12403.0010059995,0.183784969613193,18.3784969613193,0.00457270787382586,0.457270787382586,1987,8,2279,12403,-5,NA,NA,NA,0.183784969613193,-1.49091140707409
103,"Guatemala","GU1999DHS",1999,6021,6020.99981399951,0.217490592833972,21.7490592833972,0.00815350572356569,0.815350572356569,1987,12,1310,6021,-1,NA,NA,NA,0.217490592833972,-1.28035034602415
104,"Guatemala","GU2015DHS",2015,25914,25914.0001650018,0.322147069261597,32.2147069261597,0.00345125851846347,0.345125851846347,1987,28,8348,25914,15,NA,NA,NA,0.322147069261597,-0.743922169986464
105,"Guinea","GN1999DHS",1999,6753,6753.00077600018,0.0485969575431292,4.85969575431292,0.00263272827612085,0.263272827612085,1999,0,328,6753,-1,NA,NA,NA,0.0485969575431292,-2.97437685491296
106,"Guinea","GN2005DHS",2005,7954,7953.99992800004,0.0682980602108949,6.82980602108949,0.00308060458675913,0.308060458675913,1999,6,543,7954,5,NA,NA,NA,0.0682980602108949,-2.61313159128152
107,"Guinea","GN2012DHS",2012,9142,9141.99984000006,0.0703747785232947,7.03747785232947,0.00308844703282507,0.308844703282507,1999,13,643,9142,12,NA,NA,NA,0.0703747785232947,-2.5809465779051
108,"Guinea","GN2018DHS",2018,10874,10873.999956,0.114285827113167,11.4285827113167,0.00334671943356881,0.334671943356881,1999,19,1243,10874,18,NA,NA,NA,0.114285827113167,-2.04769172873969
